ride_id,started_at,ended_at,duration_sec,start_station_id,start_station_name,start_lat,start_lng,end_station_id,end_station_name,end_lat,end_lng,member_casual,rideable_type,bike_id,birth_year,gender,source_file,start_match_type,end_match_type
4c6b02bc9e3a5b23b9ff86d4a14a3515,2014-01-01 00:00:38,2014-01-01 00:25:32,1494.0,66dc89ae-0aca-11e7-82f6-3863bb44ef7c,1 Ave & E 30 St,40.74144387,-73.97536082,66db4417-0aca-11e7-82f6-3863bb44ef7c,South St & Whitehall St,40.70122128,-74.01234218,member,,15611,1963,1,2014-citibike-tripdata_201401-citibike-tripdata_1.csv,crosswalk,crosswalk
14cd68f232b7296d245cde31ddeb51e2,2014-01-01 00:03:59,2014-01-01 00:11:43,464.0,66db3997-0aca-11e7-82f6-3863bb44ef7c,E 48 St & 3 Ave,40.7546011026,-73.971878855,66dca6f4-0aca-11e7-82f6-3863bb44ef7c,E 60 St & York Ave,40.759107,-73.959223,member,,16613,1991,1,2014-citibike-tripdata_201401-citibike-tripdata_1.csv,crosswalk,crosswalk
917126d0a5b90c8d55adbe5789ca26fa,2014-01-01 00:05:18,2014-01-01 00:16:18,660.0,66db281e-0aca-11e7-82f6-3863bb44ef7c,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,66dc1545-0aca-11e7-82f6-3863bb44ef7c,Hancock St & Bedford Ave,40.68216564,-73.95399026,member,,19830,1990,1,2014-citibike-tripdata_201401-citibike-tripdata_1.csv,crosswalk,crosswalk
4545698b6443b3743bccd3cc1a776fba,2014-01-01 00:05:55,2014-01-01 00:11:25,330.0,66dc0dab-0aca-11e7-82f6-3863bb44ef7c,W 59 St & 10 Ave,40.770513,-73.988038,66dc840f-0aca-11e7-82f6-3863bb44ef7c,E 33 St & 5 Ave,40.74765947,-73.98490707,member,,17343,1987,1,2014-citibike-tripdata_201401-citibike-tripdata_1.csv,crosswalk,crosswalk
59dbb5f401ab58b0c703b1d2bd8f103c,2014-01-01 00:06:04,2014-01-01 00:10:25,261.0,66dc7e75-0aca-11e7-82f6-3863bb44ef7c,E 47 St & 1 Ave,40.75206862,-73.96784384,de0c1800-f7cc-41b4-ab7a-c9d219180d06,E 39 St & Lexington Ave,40.749498546025194,-73.97729203113158,member,,17880,1983,1,2014-citibike-tripdata_201401-citibike-tripdata_1.csv,crosswalk,crosswalk
B3C5E29F441138FE,2024-01-14 00:52:11.585,2024-01-14 00:54:14.421,122.836,05c5e17c-7aa9-49b7-9da3-9db4858ec1fc,W 35 St & 9 Ave,40.75414519263519,-73.9960889518261,66dc7c31-0aca-11e7-82f6-3863bb44ef7c,W 29 St & 9 Ave,40.7500727,-73.99839279,member,electric_bike,,,,202401-citibike-tripdata_202401-citibike-tripdata_1.csv,crosswalk,crosswalk
B60951E7902E87E5,2024-01-07 13:39:39.309,2024-01-07 13:43:10.753,211.444,66dc7a7d-0aca-11e7-82f6-3863bb44ef7c,9 Ave & W 22 St,40.7454973,-74.00197139,66dc7c31-0aca-11e7-82f6-3863bb44ef7c,W 29 St & 9 Ave,40.7500727,-73.99839279,member,electric_bike,,,,202401-citibike-tripdata_202401-citibike-tripdata_1.csv,crosswalk,crosswalk
0607DF2473BBB57A,2024-01-01 17:43:31.034,2024-01-01 17:51:03.677,452.643,23539f3b-fb83-4f34-b8b8-9f1f37b5e646,Morningside Ave & W 123 St,40.81,-73.9551508,66dde8ac-0aca-11e7-82f6-3863bb44ef7c,Columbus Ave & W 103 St,40.7969347,-73.9643412291,member,electric_bike,,,,202401-citibike-tripdata_202401-citibike-tripdata_1.csv,crosswalk,crosswalk
732F1324C8B149E0,2024-01-12 13:28:31.046,2024-01-12 13:52:15.851,1424.805,66dc7a7d-0aca-11e7-82f6-3863bb44ef7c,9 Ave & W 22 St,40.7454973,-74.00197139,1917312704757770810,1 Ave & E 38 St,40.746202,-73.971822,member,classic_bike,,,,202401-citibike-tripdata_202401-citibike-tripdata_1.csv,crosswalk,crosswalk
2940C278A7A8E3B5,2024-01-06 05:46:32.61,2024-01-06 05:49:46.371,193.761,66dd46a2-0aca-11e7-82f6-3863bb44ef7c,E 85 St & York Ave,40.77536905,-73.94803392,66ddea2a-0aca-11e7-82f6-3863bb44ef7c,E 91 St & 2 Ave,40.781152764279156,-73.94963040947914,casual,electric_bike,,,,202401-citibike-tripdata_202401-citibike-tripdata_1.csv,crosswalk,crosswalk
